Game,BGG Link,Owner
7 Wonders Duel,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,Shoalwater
Agricola,https://boardgamegeek.com/boardgame/31260/agricola,Shoalwater
"Air, Land, Sea",https://boardgamegeek.com/boardgame/247367/air-land-and-sea,Shoalwater
Alhambra,https://boardgamegeek.com/boardgame/6249/alhambra,Shoalwater
Arboretum,https://boardgamegeek.com/boardgame/140934/arboretum,Shoalwater
Archaeology: The Card Game,https://boardgamegeek.com/boardgame/31105/archaeology-the-card-game,Shoalwater
Arkham Horror The Card Game,https://boardgamegeek.com/boardgame/205637/arkham-horror-the-card-game,Shoalwater
Articulate!,https://boardgamegeek.com/boardgame/6541/articulate,Shoalwater
Azul,https://boardgamegeek.com/boardgame/230802/azul,Shoalwater
Blokus,https://boardgamegeek.com/boardgame/2453/blokus,Shoalwater
Blokus Duo,https://boardgamegeek.com/boardgame/16395/blokus-duo,Shoalwater
Boalderdash,https://boardgamegeek.com/boardgame/163/balderdash,Shoalwater
Botanik,https://boardgamegeek.com/boardgame/271529/botanik,Shoalwater
Candamir,https://boardgamegeek.com/boardgame/12004/candamir-the-first-settlers,Shoalwater
Carcassone,https://boardgamegeek.com/boardgame/822/carcassonne,Shoalwater
Casefile: Truth & Deception,https://boardgamegeek.com/boardgame/370416/casefile-truth-and-deception-game,Shoalwater
Catan,https://boardgamegeek.com/boardgame/13/catan,Shoalwater
Catan Dice Game,https://boardgamegeek.com/boardgame/27710/catan-dice-game,Shoalwater
Cluedo,https://boardgamegeek.com/boardgame/1294/clue,Shoalwater
Codenames,https://boardgamegeek.com/boardgame/178900/codenames,Shoalwater
Connect 4,https://boardgamegeek.com/boardgame/2719/connect-four,Shoalwater
Connect 4 Advanced,#N/A,Shoalwater
Corinth,https://boardgamegeek.com/boardgame/269725/corinth,Shoalwater
Cribbage,https://boardgamegeek.com/boardgame/2398/cribbage,Shoalwater
Dizzle,https://boardgamegeek.com/boardgame/269199/dizzle,Shoalwater
Dominion,https://boardgamegeek.com/boardgame/36218/dominion,Shoalwater
Dragonwood,https://boardgamegeek.com/boardgame/172933/dragonwood,Shoalwater
Evolution,https://boardgamegeek.com/boardgame/155703/evolution,Shoalwater
Explorers of the North Sea,https://boardgamegeek.com/boardgame/176371/explorers-of-the-north-sea,Shoalwater
Falling Skies,https://boardgamegeek.com/boardgame/306735/under-falling-skies,Shoalwater
First XI Cricket,https://boardgamegeek.com/boardgame/405117/first-xi-cricket,Shoalwater
Five Crowns,https://boardgamegeek.com/boardgame/1472/five-crowns,Shoalwater
Fluttering Souls,https://boardgamegeek.com/boardgame/258154/fluttering-souls,Shoalwater
Forbidden Island,https://boardgamegeek.com/boardgame/65244/forbidden-island,Shoalwater
Ganz Schon Clever (That's Pretty Clever),https://boardgamegeek.com/boardgame/244522/thats-pretty-clever,Shoalwater
Guess the Product Review,#N/A,Shoalwater
Guess Who?,https://boardgamegeek.com/boardgame/4143/guess-who,Shoalwater
Harvest,https://boardgamegeek.com/boardgame/200058/harvest,Shoalwater
Jaipur,https://boardgamegeek.com/boardgame/54043/jaipur,Shoalwater
Jenga,https://boardgamegeek.com/boardgame/2452/jenga,Shoalwater
Keyper,https://boardgamegeek.com/boardgame/212516/keyper,Shoalwater
Lost Cities,,Shoalwater
Medici,https://boardgamegeek.com/boardgame/46/medici,Shoalwater
Monopoly,https://boardgamegeek.com/boardgame/1406/monopoly,Shoalwater
Mummy Rummy,https://boardgamegeek.com/boardgame/452/mummy-rummy,Shoalwater
My City,https://boardgamegeek.com/boardgame/295486/my-city,Shoalwater
Navegador,https://boardgamegeek.com/boardgame/66589/navegador,Shoalwater
Patch Work,https://boardgamegeek.com/boardgame/163412/patchwork,Shoalwater
Payday The Game,https://boardgamegeek.com/boardgame/1797/pay-day,Shoalwater
Pictionary Mania,https://boardgamegeek.com/boardgame/24118/pictionary-mania,Shoalwater
Pictureka,https://boardgamegeek.com/boardgame/22889/pictureka,Shoalwater
