name,year,players_min,players_max,players_best,playing_time_min,playing_time_max,playing_time_avg,row,link
7 Wonders Duel,2015,2,2,2+,30,30,30,0,https://boardgamegeek.com/boardgame/16395/blokus-duo
Agricola,2007,1,5,5+,30,150,150,1,https://boardgamegeek.com/boardgame/16395/blokus-duo
"Air, Land & Sea",2019,2,2,2,20,20,20,2,https://boardgamegeek.com/boardgame/16395/blokus-duo
Alhambra,2003,2,6,2,45,60,60,3,https://boardgamegeek.com/boardgame/16395/blokus-duo
Arboretum,2015,2,4,4,30,30,30,4,https://boardgamegeek.com/boardgame/16395/blokus-duo
Archaeology: The Card Game,2007,2,4,3,20,20,20,5,https://boardgamegeek.com/boardgame/16395/blokus-duo
Arkham Horror: The Card Game,2016,1,2,2,60,120,120,6,https://boardgamegeek.com/boardgame/16395/blokus-duo
Articulate!,1992,4,8,6,60,60,60,7,https://boardgamegeek.com/boardgame/16395/blokus-duo
Azul,2017,2,4,2,30,45,45,8,https://boardgamegeek.com/boardgame/16395/blokus-duo
Blokus,2000,2,4,2,20,20,20,9,https://boardgamegeek.com/boardgame/16395/blokus-duo
Blokus Duo,2005,2,2,2,10,20,20,10,https://boardgamegeek.com/boardgame/16395/blokus-duo
Balderdash,1984,2,6,6,60,60,60,11,#N/A
Botanik,2021,2,2,2,30,30,30,12,#N/A
Candamir: The First Settlers,2004,2,4,3,60,120,120,13,#N/A
Carcassonne,2000,2,5,4,30,45,45,14,#N/A
Casefile: Truth & Deception Game,2022,3,4,1,0,0,0,15,#N/A
CATAN,1995,3,4,3,60,120,120,16,#N/A
Catan Dice Game,2007,1,4,2,15,30,30,17,#N/A
Clue,1949,2,6,6,45,45,45,18,#N/A
Codenames,2015,2,8,6,15,15,15,19,#N/A
Connect Four,1974,2,2,2,10,10,10,20,#N/A
Corinth,2019,2,4,4,20,30,30,22,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Cribbage,1630,2,6,4,30,30,30,23,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Dizzle,2019,1,4,1,30,30,30,24,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Dominion,2008,2,4,3,30,30,30,25,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Dragonwood,2015,2,4,3,20,20,20,26,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Evolution,2014,2,6,3,60,60,60,27,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Explorers of the North Sea,2016,1,4,2,45,60,60,28,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Under Falling Skies,2020,1,1,1,20,40,40,29,https://boardgamegeek.com/boardgame/258154/fluttering-souls
First XI Cricket,2023,2,6,1,5,20,20,30,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Five Crowns,1996,1,7,5,30,30,30,31,https://boardgamegeek.com/boardgame/258154/fluttering-souls
Fluttering Souls,2019,2,2,2,10,20,20,32,https://boardgamegeek.com/boardgame/258154/fluttering-souls
