Site,Name,Lat,Lon,Start,End,Years, %,AWS
7118,ABBOTTS,-26.4,118.4,Sep 1898,Nov 1913,6.8,45,  N
10258,ABERVON,-30.7833,117.9833,May 1968,Aug 1973,5.2,97,  N
4000,ABYDOS,-21.4167,118.9333,Jul 1917,Dec 1974,40,70,  N
4045,ABYDOS WOODSTOCK,-21.62,118.955,Apr 1901,Sep 1997,65.2,67,  N
9971,ACTON PARK,-33.7845,115.4072,Nov 2000,Nov 2017,17,98,  N
2046,ADA VALE,-16.95,128.1,Jan 1920,Mar 1925,4.8,92,  N
9804,ADINA,-33.8811,122.2167,Jan 1969,Oct 2017,48.8,100,  N
12000,AGNEW,-28.0069,120.5092,Feb 1948,Jan 1985,36.8,99,  N
8000,AJANA,-27.9608,114.6339,Aug 1917,May 2013,82.3,84,  N
8184,AJANA 2,-28,114.8,Oct 1911,Mar 1919,5.2,69,  N
10898,AKOONAH,-33.2297,119.9242,Nov 1983,Aug 2015,26.8,82,  N
10713,ALADALE,-32.65,116.9833,Aug 1935,Jul 1944,9,99,  N
9758,ALAMEIN TRACK,-34.4653,115.8325,Apr 1967,Nov 1986,3.3,16,  N
9500,ALBANY,-35.0289,117.8808,Feb 1877,Nov 2017,111,79,  N
9999,ALBANY AIRPORT,-34.9411,117.8158,Jan 2012,Nov 2017,5.9,96,  Y
9741,ALBANY AIRPORT COMPARISON,-34.9414,117.8022,Sep 1963,Feb 2014,50.3,99,  Y
9139,ALBANY HIGHWAY 47.5,-32.45,116.3,Feb 1927,Mar 1937,1.3,13,  N
12001,ALBION DOWNS,-27.2878,120.3919,May 1936,Jan 2017,71,88,  N
10500,ALDERSYDE 2,-32.4333,117.3167,Sep 1948,Dec 1971,23.3,100,  N
10501,ALDERSYDE POST OFFICE,-32.3667,117.2833,Dec 1909,Sep 1976,47.3,71,  N
9556,ALDERVALE,-33.9781,116.3336,Feb 1907,Nov 2017,99.9,89,  N
10052,ALEPPO,-31.4453,117.2219,Jan 1910,Oct 2017,107.3,99,  N
9801,ALEXANDRA BRIDGE,-34.1597,115.1892,Jan 1971,Oct 2017,46.3,99,  N
12171,ALFRED DOWNS,-29,120,Jul 1926,Dec 1937,11.5,100,  N
2000,ALICE DOWNS,-17.7569,127.9386,Apr 1905,Dec 2002,82.6,84,  N
9002,ALLAMBIE,-31.2497,115.7303,Nov 1916,Dec 1995,77.6,98,  N
10894,ALLAN ROCKS,-32.6322,119.0958,Jul 1967,Oct 2017,49.3,98,  N
8212,ALLENDALE,-29.4,116.8,Jan 1912,Jun 1919,7.3,97,  N
12112,ALTONA,-27.5389,119.9861,Nov 1956,Jan 2002,36.8,80,  N
10839,AMAROO,-32.9258,117.6258,Jan 1970,Jun 1997,27.5,100,  N
9972,AMBERGATE,-33.7333,115.3411,Nov 2000,Sep 2002,1.9,95,  N
10502,AMELUP,-34.2553,118.2214,Jan 1907,Nov 2017,110.6,99,  N
10000,AMERY ACRES,-31.1683,117.0736,Jan 1934,Nov 2017,55.3,65,  N
10696,AMRISTA PARK,-32.6597,118.6319,Jan 1956,Nov 2017,61.9,100,  N
9770,ANGUS DOWNS,-34.6667,117.3333,Jun 1968,Aug 1976,8.2,99,  N
12002,ANKETELL,-28.0272,118.8472,Aug 1915,Dec 1975,58.2,96,  N
9258,ANKETELL,-32.2156,115.8758,Jan 2002,Nov 2017,15.8,99,  N
3028,ANNA PLAINS,-19.2536,121.4861,Jan 1908,Apr 2017,90.3,82,  N
7020,ANNEAN,-26.8764,118.1731,Apr 1887,Dec 2008,94.2,77,  N
8275,ANRO,-30.3678,116.2653,Jan 1982,Aug 2017,35.2,93,  N
8317,ANRO TBRG,-30.36,116.2896,Sep 2015,Nov 2017,2.3,95,  N
10714,ARALUEN,-34,118.1,Jun 1915,Apr 1924,7.5,84,  N
9000,ARALUEN,-32.1247,116.1025,Jun 1934,Dec 2013,43.8,55,  N
10503,ARDATH,-32.0311,118.0947,Aug 1913,Nov 2017,100.8,95,  N
3060,ARDJORIE,-18.7667,123.6833,Jan 1966,Oct 1973,7.3,93,  N
8273,ARENA,-29.3586,115.4503,Jul 1980,Oct 2017,37.3,99,  N
2064,ARGYLE AERODROME,-16.6381,128.4517,Jan 1985,Nov 2017,32.5,97,  Y
2001,ARGYLE DOWNS,-16.5039,128.9173,May 1890,Jun 2016,106.5,84,  N
9841,ARKAROOLA,-35.0111,117.6425,Jan 1974,Oct 1994,20.8,100,  N
9001,ARMADALE,-32.1303,116.0053,Feb 1903,Aug 2017,109.2,91,  N
9082,ARMADALE TRAVELLERS ARMS HOTEL,-32.3,116.15,Mar 1923,Nov 1926,3.8,100,  N
8299,ARRADALE,-29.1103,115.3173,Nov 2001,Nov 2017,16,98,  N
8185,ARRINO,-29.4,115.6,Dec 1897,Dec 1942,36,80,  N
8158,ARROWSMITH,-29.55,115.0667,Nov 1933,Jul 1946,8.3,65,  N
10505,ARTHUR RIVER,-33.3392,117.035,Jan 1891,Nov 2017,107.3,82,  N
11029,ARUBIDDY,-31.8097,125.9267,Jun 1964,Oct 2016,52.1,99,  N
9501,ARUNDEL,-34.4769,117.4811,Jun 1912,Aug 2013,100.8,99,  N
2006,ASCOT,-15.5,128.25,Oct 1910,Sep 1921,9.3,84,  N
7119,ASHBURTON DOWNS,-23.3856,117.0322,Jan 1920,Feb 2017,61.1,59,  N
9909,ASTON DOWNS,-33.7914,115.3189,May 1972,Oct 2017,45.3,97,  N
9776,ASTON DOWNS ALERT,-33.7931,115.3189,Mar 2004,Nov 2017,13.8,99,  N
9901,ATHENA,-34.9964,117.7197,Oct 1970,Mar 1995,21.8,89,  N
12003,ATLEY,-28.225,119.0703,May 1920,Mar 1997,69.4,90,  N
9956,AUGUSTA EAST,-34.3133,115.1675,Feb 1994,Feb 1999,5.1,99,  N
9953,AURORA DOWNS,-33.5447,116.6444,Jan 1980,Dec 1984,4.3,87,  N
5093,AUSKI MUNJINA ROADHOUSE,-22.3767,118.6886,Oct 1998,Jan 2014,10.8,70,  N
7021,AUSTIN DOWNS,-27.3839,117.7453,Apr 1907,Feb 2004,93.8,97,  N
9273,AUSTRALIND,-33.2722,115.7167,Jun 2010,Sep 2017,7.3,99,  N
9854,AV-A-REST,-33.8017,116.6,Jan 1912,Dec 1984,61.1,83,  N
10671,AVOCA,-33.1361,117.8814,Oct 1930,Jul 2017,85.5,98,  N
12274,AVOCA DOWNS,-30.95,122.3167,Aug 1973,Jul 1974,1,100,  N
10820,AVON DOWNS,-32.55,116.55,Jan 1969,Mar 1971,2.3,100,  N
10821,AVON GROVE,-32.55,117.55,May 1913,Feb 1918,4.8,98,  N
10795,AVONDALE FARM,-32.1178,116.8678,Jan 1965,Jun 2016,51.4,99,  N
10167,AYLESBURY,-30.3,117.4,Feb 1933,Jan 1943,10,100,  N
10001,BAANDEE,-31.6,117.9667,Mar 1906,Nov 1972,62,93,  N
10002,BAANDEE NORTH,-31.3667,117.9031,Jan 1911,Aug 2017,105.9,99,  N
10507,BABAKIN,-32.1242,118.0222,Mar 1912,Feb 2010,36.1,37,  N
8186,BADDERA,-28.25,114.7,Jan 1926,Dec 1932,7,100,  N
7120,BADGA,-28.6,116.8,Nov 1909,Jan 1925,13.5,88,  N
10508,BADGEBUP,-33.6361,117.9278,Jan 1915,Nov 2017,99.8,96,  N
10130,BADGETOPPIN,-31.65,117.8,Jan 1917,Jan 1932,14.3,95,  N
